Year,Units,Area of spending category,Unit measure,Value
2000,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),22.27417332
2001,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),23.52881394
2002,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),24.4174388
2003,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),24.52036905
2004,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),24.36397175
2005,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),24.5500087
2006,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),24.77459416
2007,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),24.09206527
2008,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),23.75323979
2009,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),24.67150269
2010,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),24.60617682
2011,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),24.95113704
2012,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),25.3366612
2013,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),25.24710833
2014,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),24.26077888
2015,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),22.85550998
2016,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),22.23127981
2017,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),21.72084116
2018,Percentage (%) of gross domestic product (GDP),Essential Services,Percentage (%),21.47743983
2000,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),4.742280175
2001,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),4.83400003
2002,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),5.429574599
2003,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),5.541907793
2004,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),5.653645207
2005,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),6.001567809
2006,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),6.045540455
2007,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),5.482058357
2008,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),5.265094795
2009,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),5.131631239
2010,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),5.253904534
2011,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),5.418277645
2012,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),5.513328663
2013,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),5.685866733
2014,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),5.690341737
2015,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),5.595799922
2016,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),5.39694719
2017,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),5.441375243
2018,Percentage (%) of gross domestic product (GDP),Health,Percentage (%),5.34801636
2000,Percentage (%) of gross domestic product (GDP),Education,Percentage (%),5.140220649
2001,Percentage (%) of gross domestic product (GDP),Education,Percentage (%),5.676462324
2002,Percentage (%) of gross domestic product (GDP),Education,Percentage (%),5.845733723
2003,Percentage (%) of gross domestic product (GDP),Education,Percentage (%),5.884004774
2004,Percentage (%) of gross domestic product (GDP),Education,Percentage (%),5.519334511
2005,Percentage (%) of gross domestic product (GDP),Education,Percentage (%),5.39627913
2006,Percentage (%) of gross domestic product (GDP),Education,Percentage (%),5.463751671
2007,Percentage (%) of gross domestic product (GDP),Education,Percentage (%),5.229606432
2008,Percentage (%) of gross domestic product (GDP),Education,Percentage (%),5.178706865
2009,Percentage (%) of gross domestic product (GDP),Education,Percentage (%),5.35763201
2010,Percentage (%) of gross domestic product (GDP),Education,Percentage (%),5.624273922
2011,Percentage (%) of gross domestic product (GDP),Education,Percentage (%),5.720330187
2012,Percentage (%) of gross domestic product (GDP),Education,Percentage (%),5.800435424
2013,Percentage (%) of gross domestic product (GDP),Education,Percentage (%),5.772160151
2014,Percentage (%) of gross domestic product (GDP),Education,Percentage (%),5.518476732
